Review Text,Overall Rating,Origin,Destination,Flight Type,Date of Travel,Legroom,Seat Comfort,In-flight Entertainment,Customer Service,Value for Money,Cleanliness,Check-in and Boarding,Food and Beverage
"We did not make our connecting flight to pittsburgh due to fog, We were told no hotel vouchers were left, they ran out 11000 people were displaced that day. We could not fly out  for 2 days To just keep receipts and file a claim. Now we were denied a reimbursment  Very Unhappy",1.0,Prague,Pittsburgh,International,October 2024,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0
"Sorry but we have travelled on business class a few times now to Cape Town and Sydney.  This does not feel very special.   The lounge was packed, unclean and most of the electric points don’t work.     We had to queue with everyone else and we are paying business class prices.     The seats are basically for sardines.   You are crushed together and if you don’t know the person sitting next to you, you certainly will know everything by the time you get to your destination.   This must be the worst business class I have ever been on and we have now done several airlines.      Really not worth the cost of a ticket.    Spend it on hotels when you get there as you will need to rest well after the flight.    Terrible.",2.0,London,Tampa,International,March 2025,2.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0
"If you want to arrive late and without your luggage, then choose BA - they are excellent at that. If not, I would recommend a different airline.",1.0,London,Madrid,Europe,March 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"British Airways' booking system is broken, yet they'll blame YOU when it fails. Their system showed our flight as confirmed all the way until we arrived at the airport, where they suddenly claimed we didn't have a ticket. Their solution? Pay up or stay behind.

Customer service response? Nothing but pure gaslighting. 'It's PayPal's fault, wait no it's Gmail's fault wait no it's Microsoft Office's fault.... And well you should have known to look at your account portal to confirm you have a ticket even though you looked at your account portal and it said you had a ticket. But don't worry, we looked reeeaaaallllyyy hard at it, and if it were our fault, we would've apologized.'

After years as a loyal customer, I'm done. BA has mastered the art of creating problems and then making them your responsibility. Save yourself the headache and book with literally any other airline that respects their passengers.",1.0,Paris,San Diego,International,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"The worst customer services I have ever came across. We are due to travel Premium Economy with BA from Glasgow to Tampa via London Gatwick on 4th April and return on 22nd April. BA have now informed me that they have changed the operator between Glasgow and Gatwick to Emerald Airlines which means a smaller turboprop aircraft instead of an A320. I have called BA asking for a refund for 2 passengers between  GLA-LGW & LGW-GLA as they are clostrophobic and can not travel on a smaller aircraft. 
We only booked these flights thinking that we were flying all the way with a national carrier BA. 
BA are refusing to offer a refund even though they have changed the terms and conditions. I have looked at other options to get to LGW (Easyjet), but BA have said the tickets 2 passengers will not be able to board the LGW - TPA flight at LGW if they do not board the Emerald Airlines flight at GLA. 
I will never book British Airways again, for a company the size of BA  ( a national carrier) to change the terms and conditions of a flight booked 5 weeks before travel but not offer any compensation/refund or even allow passengers to board at LGW is diabolical and falls way below any standards expected.",1.0,Glasgow,Tampa,International,March 2025,N/A,N/A,N/A,1.0,N/A,N/A,N/A,N/A
"Excellent service and overall a good experience in the Club Europe/ Business class. The staff were very helpful and quick with the service, although delayed things happen and that wouldnt stop me flying this flight again.",5.0,London,Prague,Europe,March 2025,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
"The worst customer care i have ever seen.
Will never fly british Airways again.
They give you only disinformation and sending you to Fürther persons. There ist No assistance. You have to find out the solution yoursselves without any support. 
This ist my last tme with British Airways.",1.0,Frankfurt,Jersey,International,March 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"My flight to Chicago was canceled. I was left without any customer service support and was told to call BA or try to use the app. After an hour of trying on the phone, I approached a member of staff luckily for me the person I approached was Jesse Saran. Rather than leave me on a call with BA that was not being answered. She took me over to a computer and made a call to British Airways Central and help me figure out a new connecting flight via DC which would save me a total of more than 36 hours. The call took a long time during which time her shift had formally ended and she was due to go home. Rather than handing me over to someone else or leaving me fend for myself she kindly stayed with me beyond her working hours, made me feel very taken care of and got me booked down for a new flight as smoothly as possible. She was kind and generous throughout a reminder of why people fly BA in the first place. People like her and Customer Service are rare and BA should do all they can to support and promote her because her qualities make all the difference for passengers like me.",5.0,London,Chicago,International,March 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"I flew First Class to Hong Kong in November last year. Never again. There is about the same amount of room as there is in Cathay Pacific Business Class!. My reading light didn't work and discovered it was held together with gaffer tape...This is supposed to be First Class.  Very cramped toilet. The crew were very good and couldn't apologize enough. The decals on the seat adjustment buttons were worn away and it was hit and miss,even by the stewardess, making the seat move where I wanted it. I flew Cathay Pacific First Class the year before and oh my god what a difference. Airy and spacious. This was an older plane but that is no excuse when BA are charging a big,big premium. This was supposed to be a treat but the return trip was no better.",1.0,London,Hong Kong,International,November 2024,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0
"I travel extensively across most global airlines but I don't frequently take BA. I had 2 flights GVA-LHR and back in the last week on my way to the US:
1. Delayed flights for 2 hours, they let you board and don't even offer water.
2. They don't even apologize for the delay
3. Dirty plane with plastic, bottles and items from previous passengers
4. I flew premium Economy and the staff insisted on both BA flights that i had to check in my carry on while there was plenty of the space to keep my luggage.

Bottom line, very bad service, a company with a bad culture where the customer isn't a priority. To be avoided at all cost, never had such a bad experience with any airline for many years",1.0,London,Canton of Geneva,Europe,March 2025,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
